category,rule,do_pattern,do_code,dont_pattern,dont_code,severity,wcag_level
Interaction,Error States,Show inline validation with specific guidance next to the relevant field,"<p role=""alert"" class=""error"">Password needs at least 8 characters</p>",Generic error modals or toast messages far from the error source,alert('Something went wrong');,HIGH,AA
Color,Contrast Ratios,Ensure 4.5:1 minimum for normal text and 3:1 for large text (18px+ bold or 24px+),"color: #1E293B; background: #FFFFFF; /* 12.6:1 ratio */",Use low-contrast text for aesthetics,color: #94A3B8; background: #F8FAFC; /* 2.1:1 ratio */,HIGH,AA
Color,Dark Mode,Design dark mode as a first-class experience not just an inverted light mode,"--bg: #0F172A; --surface: #1E293B; --text: rgba(248,250,252,0.87); --text-muted: rgba(248,250,252,0.6);",Simply inverting colors or using pure black/white,filter: invert(1);,HIGH,
Color,Semantic Colors,Use consistent semantic colors for status (success/warning/error/info) across the entire app,"--success: #10B981; --warning: #F59E0B; --error: #EF4444; --info: #3B82F6;",Using arbitrary colors for status indicators or relying on color alone for meaning,,MEDIUM,A
Layout,Spacing System,Use a consistent spacing scale based on multiples (4px 8px 12px 16px 24px 32px 48px 64px),gap: var(--space-6); /* 24px */ padding: var(--space-4); /* 16px */,Use arbitrary pixel values that don't follow a scale,margin: 13px 7px 22px 9px;,HIGH,
Layout,Responsive Containers,"Use max-width containers with fluid padding — never let content touch viewport edges","max-width: 1280px; margin: 0 auto; padding: 0 clamp(1rem, 5vw, 3rem);",Fixed-width layouts that break on different screens,width: 1200px;,HIGH,
Layout,Z-Index Scale,Define a z-index scale and stick to it — avoid z-index wars,"--z-dropdown: 100; --z-sticky: 200; --z-modal: 300; --z-toast: 400; --z-tooltip: 500;",Using arbitrary large z-index values,z-index: 99999;,MEDIUM,
Layout,Empty States,Design empty states as opportunities to guide users toward their first action,"<div class=""empty""><illustration /><h3>No projects yet</h3><p>Create your first project to get started</p><button>Create Project</button></div>",Showing blank white space or generic no data messages,<p>No data</p>,HIGH,
Forms,Progressive Disclosure,Only show fields that are relevant based on previous selections; reduce cognitive load,"<fieldset hidden={!showAdvanced}><legend>Advanced Options</legend>...</fieldset>",Showing all possible form fields at once overwhelming the user,,MEDIUM,
Forms,Input Affordances,Use appropriate input types and patterns (email/tel/date) for mobile keyboard optimization,"<input type=""email"" inputmode=""email"" autocomplete=""email"" />",Using plain text inputs for structured data like email phone or dates,<input type=""text"" />,HIGH,AA
Forms,Smart Defaults,Pre-fill sensible defaults and remember user preferences to reduce effort,"<select defaultValue={user.country || geolocated.country}>",Making users re-enter information the system already knows,,MEDIUM,
Navigation,Breadcrumb Context,"Show breadcrumbs for deep navigation (3+ levels) using semantic markup","<nav aria-label=""Breadcrumb""><ol><li><a href=""/"">Home</a></li><li aria-current=""page"">Current</li></ol></nav>",Relying on browser back button as the only navigation method,,MEDIUM,AA
Navigation,Mobile Navigation,Use bottom navigation for primary actions (max 5 items) on mobile apps,"<nav class=""bottom-nav"" role=""navigation""><a href=""/"" class=""active""><icon /><span>Home</span></a>...</nav>",Hamburger menus hiding critical navigation paths from mobile users,,HIGH,
Performance,Image Optimization,Use next-gen formats (WebP/AVIF) with srcset for responsive images and lazy loading,"<img src=""img.webp"" srcset=""img-400.webp 400w, img-800.webp 800w"" loading=""lazy"" alt=""description"" />",Serving unoptimized full-resolution images to all devices,<img src=""photo-original-4000x3000.jpg"" />,HIGH,
Performance,Critical CSS,Inline critical above-the-fold CSS and defer non-critical stylesheets,"<style>/* critical CSS inlined */</style><link rel=""preload"" href=""full.css"" as=""style"" onload=""this.rel='stylesheet'"">",Loading entire CSS bundle before first paint,,MEDIUM,
Accessibility,Screen Reader,Use semantic HTML and ARIA labels for all interactive and dynamic content,"<button aria-label=""Close dialog"" aria-expanded=""false""><svg>...</svg></button>",Using div/span for interactive elements without roles or labels,<div onclick=""close()"">X</div>,HIGH,AA
Accessibility,Color Independence,"Never use color as the only means of conveying information — add icons, text, or patterns","<span class=""status""><icon /> <span>Error: Invalid email</span></span>",Relying solely on red/green to indicate success/failure,"<span style=""color: red"">Error</span>",HIGH,A
RTL Support,Bidirectional Layout,Use CSS logical properties for layouts that automatically flip in RTL contexts,"margin-inline-start: 1rem; padding-inline-end: 2rem; inset-inline-start: 0;",Using physical directional properties that break in RTL,margin-left: 1rem; padding-right: 2rem;,HIGH,
RTL Support,Arabic Text Rendering,Set proper direction and language attributes; ensure Arabic fonts load correctly,"<html dir=""rtl"" lang=""ar""><head><link href=""arabic-font.css"" /></head>",Ignoring text direction or using Latin-only fallback fonts,,HIGH,
